"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 11- 10","4,642.00","4,674.75","4,680.25","4,625.25","1.64M","-0.77%"
"2021- 11- 09","4,678.25","4,690.75","4,700.50","4,663.25","1.29M","-0.34%"
"2021- 11- 08","4,694.00","4,678.50","4,707.00","4,676.25","1.00M","0.08%"
"2021- 11- 05","4,690.25","4,671.75","4,711.75","4,667.50","1.46M","0.36%"
"2021- 11- 04","4,673.25","4,651.50","4,676.25","4,650.75","1.17M","0.45%"
"2021- 11- 03","4,652.25","4,621.25","4,657.00","4,613.00","1.07M","0.62%"
"2021- 11- 02","4,623.50","4,605.75","4,627.00","4,593.25","980.83K","0.39%"
"2021- 11- 01","4,605.75","4,608.00","4,619.50","4,586.50","1.07M","0.19%"
"2021- 10- 29","4,597.00","4,577.00","4,603.50","4,559.25","1.42M","0.21%"
"2021- 10- 28","4,587.50","4,548.75","4,589.75","4,545.25","1.20M","0.95%"
"2021- 10- 27","4,544.50","4,563.75","4,576.75","4,543.75","1.26M","-0.45%"
"2021- 10- 26","4,565.25","4,564.75","4,590.00","4,560.75","1.26M","0.16%"
"2021- 10- 25","4,558.00","4,528.75","4,566.25","4,522.50","1.03M","0.47%"
"2021- 10- 22","4,536.50","4,530.00","4,551.50","4,515.25","1.32M","-0.12%"
"2021- 10- 21","4,541.75","4,525.00","4,543.25","4,510.25","938.57K","0.30%"
"2021- 10- 20","4,528.00","4,516.00","4,532.25","4,504.00","1.01M","0.37%"
"2021- 10- 19","4,511.25","4,475.75","4,517.50","4,471.75","1.02M","0.75%"
"2021- 10- 18","4,477.50","4,465.50","4,479.75","4,436.25","1.10M","0.34%"
"2021- 10- 15","4,462.50","4,433.00","4,467.50","4,426.25","1.19M","0.76%"
"2021- 10- 14","4,429.00","4,354.75","4,437.25","4,354.00","1.26M","1.70%"
"2021- 10- 13","4,355.00","4,327.50","4,364.75","4,318.75","1.37M","0.33%"
"2021- 10- 12","4,340.75","4,347.75","4,365.00","4,317.25","1.30M","-0.24%"
"2021- 10- 11","4,351.00","4,381.00","4,407.50","4,344.00","1.25M","-0.71%"
"2021- 10- 08","4,382.25","4,390.50","4,407.75","4,376.25","1.43M","-0.18%"
"2021- 10- 07","4,390.00","4,355.25","4,421.50","4,355.00","1.41M","0.83%"
"2021- 10- 06","4,354.00","4,334.00","4,357.50","4,273.75","2.20M","0.46%"
"2021- 10- 05","4,334.00","4,295.75","4,359.75","4,269.00","1.65M","1.00%"
"2021- 10- 04","4,291.25","4,349.00","4,362.00","4,267.50","2.14M","-1.21%"
"2021- 10- 01","4,343.75","4,301.00","4,365.75","4,260.00","2.27M","1.07%"
"2021- 09- 30","4,297.75","4,360.00","4,389.00","4,294.25","2.37M","-1.20%"
"2021- 09- 29","4,349.75","4,347.50","4,378.75","4,344.25","1.82M","0.14%"
"2021- 09- 28","4,343.50","4,429.75","4,442.00","4,334.75","2.31M","-2.02%"
"2021- 09- 27","4,433.00","4,446.00","4,472.00","4,425.00","1.31M","-0.29%"
"2021- 09- 24","4,445.75","4,439.00","4,453.00","4,410.75","1.18M","0.17%"
"2021- 09- 23","4,438.00","4,386.00","4,455.00","4,385.75","1.45M","1.23%"
"2021- 09- 22","4,384.00","4,336.50","4,406.50","4,321.25","1.77M","0.94%"
"2021- 09- 21","4,343.25","4,342.50","4,395.75","4,329.25","1.94M","-0.11%"
"2021- 09- 20","4,348.25","4,411.75","4,418.00","4,293.75","2.71M","-2.60%"
"2021- 09- 17","4,464.33","4,471.00","4,482.50","4,459.00","24.14K","-0.22%"
"2021- 09- 16","4,474.25","4,486.00","4,487.50","4,443.00","268.03K","-0.17%"
"2021- 09- 15","4,481.75","4,446.75","4,487.50","4,437.50","518.99K","0.84%"
"2021- 09- 14","4,444.50","4,475.50","4,489.50","4,435.00","893.79K","-0.55%"
"2021- 09- 13","4,469.00","4,461.00","4,492.75","4,444.75","1.53M","0.18%"
"2021- 09- 11","4,461.00","4,461.00","4,461.00","4,461.00","","0.06%"
"2021- 09- 10","4,458.25","4,491.25","4,518.25","4,456.50","1.72M","-0.76%"
"2021- 09- 09","4,492.25","4,511.00","4,529.50","4,485.50","1.70M","-0.45%"
"2021- 09- 08","4,512.50","4,517.50","4,524.75","4,492.00","1.61M","-0.15%"
"2021- 09- 07","4,519.25","4,533.00","4,548.00","4,510.75","1.28M","-0.46%"
"2021- 09- 06","4,540.00","4,528.75","4,548.00","4,523.75","125.07K","0.25%"
"2021- 09- 05","4,528.75","4,533.75","4,534.75","4,528.50","6.03K","-0.11%"
"2021- 09- 04","4,533.75","4,533.75","4,533.75","4,533.75","","-0.02%"
"2021- 09- 03","4,534.50","4,536.75","4,549.50","4,519.25","1.16M","-0.02%"
"2021- 09- 02","4,535.25","4,522.50","4,544.00","4,516.00","1.02M","0.31%"
"2021- 09- 01","4,521.25","4,527.75","4,540.00","4,519.25","1.06M","0.02%"
"2021- 08- 31","4,520.50","4,529.50","4,542.25","4,512.50","1.38M","-0.10%"
"2021- 08- 30","4,525.25","4,508.75","4,534.50","4,500.75","975.81K","0.39%"
"2021- 08- 28","4,507.50","4,507.50","4,507.50","4,507.50","","0.04%"
"2021- 08- 27","4,505.50","4,470.00","4,510.00","4,462.25","1.22M","0.87%"
"2021- 08- 26","4,466.50","4,493.75","4,494.25","4,465.00","1.31M","-0.59%"
"2021- 08- 25","4,493.00","4,483.50","4,498.00","4,476.25","801.11K","0.23%"
"2021- 08- 24","4,482.50","4,481.00","4,492.00","4,476.75","787.50K","0.16%"
"2021- 08- 23","4,475.50","4,435.00","4,485.75","4,433.50","997.03K","0.86%"
"2021- 08- 21","4,437.50","4,437.50","4,437.50","4,437.50","","0.01%"
"2021- 08- 20","4,437.00","4,403.75","4,440.50","4,371.75","1.33M","0.81%"
"2021- 08- 19","4,401.50","4,389.75","4,414.75","4,347.75","1.92M","0.16%"
"2021- 08- 18","4,394.50","4,436.75","4,449.75","4,381.50","1.55M","-1.10%"
"2021- 08- 17","4,443.50","4,472.00","4,472.25","4,411.75","1.79M","-0.68%"
"2021- 08- 16","4,474.00","4,456.25","4,476.50","4,432.50","1.24M","0.32%"
"2021- 08- 14","4,459.75","4,459.75","4,459.75","4,459.75","","-0.06%"
"2021- 08- 13","4,462.50","4,455.75","4,463.25","4,451.00","789.10K","0.18%"
"2021- 08- 12","4,454.50","4,440.00","4,456.25","4,430.25","850.53K","0.32%"
"2021- 08- 11","4,440.50","4,429.25","4,443.25","4,420.75","1.00M","0.24%"
"2021- 08- 10","4,430.00","4,427.25","4,438.25","4,416.50","950.32K","0.10%"
"2021- 08- 09","4,425.75","4,428.00","4,432.00","4,412.25","789.73K","-0.08%"
"2021- 08- 06","4,429.50","4,420.25","4,433.25","4,416.00","951.05K","0.18%"
"2021- 08- 05","4,421.50","4,396.25","4,422.75","4,393.75","763.34K","0.61%"
"2021- 08- 04","4,394.75","4,409.75","4,415.00","4,391.25","1.05M","-0.46%"
"2021- 08- 03","4,415.00","4,383.75","4,417.00","4,365.25","1.30M","0.80%"
"2021- 08- 02","4,379.75","4,396.50","4,419.75","4,377.25","1.19M","-0.35%"
"2021- 07- 31","4,395.25","4,395.25","4,395.25","4,395.25","","0.13%"
"2021- 07- 30","4,389.50","4,394.25","4,405.00","4,370.75","1.38M","-0.50%"
"2021- 07- 29","4,411.75","4,393.75","4,422.50","4,380.50","1.01M","0.41%"
"2021- 07- 28","4,393.75","4,380.00","4,407.75","4,377.50","1.22M","-0.02%"
"2021- 07- 27","4,394.50","4,415.75","4,416.00","4,364.75","1.58M","-0.45%"
"2021- 07- 26","4,414.25","4,400.50","4,416.75","4,375.50","938.63K","0.26%"
"2021- 07- 23","4,403.00","4,371.50","4,408.25","4,367.25","1.17M","1.00%"
"2021- 07- 22","4,359.50","4,355.00","4,371.50","4,341.50","981.97K","0.21%"
"2021- 07- 21","4,350.50","4,318.75","4,355.25","4,310.00","1.19M","0.81%"
"2021- 07- 20","4,315.50","4,262.75","4,329.00","4,252.75","1.84M","1.51%"
"2021- 07- 19","4,251.25","4,320.00","4,320.75","4,224.00","2.60M","-1.56%"
"2021- 07- 16","4,318.50","4,347.75","4,368.00","4,314.25","1.64M","-0.77%"
"2021- 07- 15","4,352.00","4,366.50","4,370.25","4,332.50","1.61M","-0.36%"
